Step Number,Cumulative Steps,Center Pixel,Center Pixel Error,FWHM (px),R Squared,Model Used,Exposure (ms),Avg Frames
1,100,139.916402,0.052660,4.238849,0.759214,Voigt,100.0,1
2,200,NaN,NaN,NaN,NaN,NaN,100.0,1
